Date,Open,High,Low,Close,Tick Volume,Volume
2018.08.23 13:00,4160.116,4160.624,4158.592000000001,4158.592000000001,571,1918
2018.08.23 13:01,4158.592000000001,4161.64,4158.084,4161.64,838,2917
2018.08.23 13:02,4161.1320000000005,4161.1320000000005,4158.592000000001,4158.592000000001,483,1463
2018.08.23 13:03,4158.592000000001,4160.116,4158.592000000001,4159.1,249,825
2018.08.23 13:04,4159.1,4160.624,4158.592000000001,4159.1,422,1079
2018.08.23 13:05,4159.608,4160.116,4159.1,4160.116,230,795
2018.08.23 13:06,4159.608,4160.624,4158.592000000001,4159.1,341,975
2018.08.23 13:07,4159.1,4159.608,4157.576,4158.592000000001,869,2456
2018.08.23 13:08,4158.084,4160.116,4157.068,4158.084,909,3080
2018.08.23 13:09,4158.084,4159.608,4157.068,4158.592000000001,397,1403
2018.08.23 13:10,4159.1,4160.116,4158.084,4158.592000000001,297,1130
2018.08.23 13:11,4158.592000000001,4158.592000000001,4155.036,4157.576,1434,4852
2018.08.23 13:12,4157.576,4159.608,4157.576,4157.576,594,2252
2018.08.23 13:13,4157.576,4159.1,4157.576,4158.592000000001,278,935
2018.08.23 13:14,4158.592000000001,4159.608,4158.084,4159.1,168,476
2018.08.23 13:15,4159.1,4159.1,4158.084,4158.084,184,606
2018.08.23 13:16,4158.084,4158.592000000001,4156.56,4157.576,720,2878
2018.08.23 13:17,4157.576,4158.592000000001,4156.56,4157.068,306,1460
2018.08.23 13:18,4157.068,4157.068,4155.544,4156.56,600,2072
2018.08.23 13:19,4156.052,4156.56,4154.02,4154.02,789,2394
2018.08.23 13:20,4154.02,4154.528,4153.512,4154.02,591,1767
2018.08.23 13:21,4154.02,4155.544,4153.004,4153.512,769,2578
2018.08.23 13:22,4153.512,4156.56,4153.512,4156.052,588,1845
2018.08.23 13:23,4156.56,4158.084,4156.052,4156.56,1035,3724
2018.08.23 13:24,4156.56,4159.1,4156.052,4157.068,1023,3446
2018.08.23 13:25,4157.576,4158.592000000001,4157.068,4158.592000000001,243,807
2018.08.23 13:26,4158.084,4159.608,4158.084,4158.592000000001,536,1926
2018.08.23 13:27,4159.1,4159.608,4158.592000000001,4159.1,200,717
2018.08.23 13:28,4159.1,4160.116,4158.084,4159.608,348,1206
2018.08.23 13:29,4159.608,4159.608,4157.576,4159.608,431,1265
2018.08.23 13:30,4159.1,4160.624,4158.592000000001,4160.624,549,1752
2018.08.23 13:31,4160.116,4160.624,4159.1,4159.1,441,1595
2018.08.23 13:32,4159.1,4159.1,4157.576,4158.084,459,1439
2018.08.23 13:33,4158.592000000001,4160.116,4158.084,4159.1,242,837
2018.08.23 13:34,4158.592000000001,4159.608,4158.084,4159.1,220,855
2018.08.23 13:35,4159.1,4160.116,4158.592000000001,4159.1,189,947
2018.08.23 13:36,4159.608,4159.608,4158.084,4158.592000000001,207,968
2018.08.23 13:37,4158.592000000001,4159.608,4158.084,4158.592000000001,146,640
2018.08.23 13:38,4158.592000000001,4159.1,4158.084,4158.592000000001,141,542
2018.08.23 13:39,4158.592000000001,4158.592000000001,4155.544,4156.56,957,3511
2018.08.23 13:40,4156.56,4156.56,4155.544,4155.544,273,1049
2018.08.23 13:41,4155.544,4156.56,4154.528,4155.036,584,1967
2018.08.23 13:42,4155.544,4157.068,4154.528,4156.052,290,1172
2018.08.23 13:43,4156.56,4157.068,4156.052,4156.56,162,600
2018.08.23 13:44,4157.068,4158.084,4156.052,4157.068,380,1122
2018.08.23 13:45,4157.576,4157.576,4156.052,4156.56,275,1159
2018.08.23 13:46,4156.56,4156.56,4156.052,4156.56,108,304
2018.08.23 13:47,4156.56,4158.084,4156.56,4157.068,255,1022
2018.08.23 13:48,4157.068,4158.084,4156.56,4157.576,205,741
2018.08.23 13:49,4157.576,4159.1,4156.56,4158.592000000001,498,1726
2018.08.23 13:50,4158.592000000001,4159.1,4157.576,4157.576,316,956
2018.08.23 13:51,4158.084,4159.1,4156.56,4158.592000000001,492,1565
2018.08.23 13:52,4159.1,4161.64,4159.1,4161.1320000000005,1144,3522
2018.08.23 13:53,4161.64,4175.357,4160.624,4174.849,3930,14895
2018.08.23 13:54,4174.849,4175.357,4167.736,4168.244000000001,3102,11272
2018.08.23 13:55,4168.244000000001,4170.785,4166.72,4170.276,1211,3599
2018.08.23 13:56,4170.276,4181.960999999999,4170.276,4175.357,3755,13572
2018.08.23 13:57,4175.865,4175.865,4171.293,4172.817,1373,4690
2018.08.23 13:58,4172.309,4178.405,4172.309,4175.865,1643,5854
2018.08.23 13:59,4175.357,4179.929,4174.849,4175.865,1737,6298
2018.08.23 14:00,4175.357,4180.437,4174.849,4179.929,1983,7169
2018.08.23 14:01,4179.420999999999,4181.4529999999995,4176.880999999999,4178.913,1527,5905
2018.08.23 14:02,4178.405,4178.913,4173.833,4174.340999999999,1242,4944
2018.08.23 14:03,4174.340999999999,4174.849,4171.293,4172.309,1447,5359
2018.08.23 14:04,4172.817,4177.897,4171.8009999999995,4176.880999999999,1551,5503
2018.08.23 14:05,4176.880999999999,4178.913,4171.8009999999995,4172.309,1281,4495
2018.08.23 14:06,4172.309,4175.865,4172.309,4173.325,737,2675
2018.08.23 14:07,4173.325,4175.865,4173.325,4174.849,592,1954
2018.08.23 14:08,4174.340999999999,4177.389,4173.833,4175.357,530,1806
2018.08.23 14:09,4175.865,4177.389,4173.833,4174.340999999999,588,2156
2018.08.23 14:10,4174.849,4175.357,4171.293,4171.8009999999995,917,3331
2018.08.23 14:11,4172.309,4172.309,4170.276,4171.293,763,2588
2018.08.23 14:12,4171.293,4175.357,4170.276,4173.833,1009,3164
2018.08.23 14:13,4173.325,4177.897,4173.325,4177.389,1087,3589
2018.08.23 14:14,4177.389,4181.960999999999,4177.389,4179.929,1729,5614
2018.08.23 14:15,4180.437,4182.977,4178.405,4180.945,1781,6529
2018.08.23 14:16,4180.945,4183.485,4178.405,4179.420999999999,1211,4261
2018.08.23 14:17,4179.420999999999,4179.420999999999,4174.340999999999,4174.849,1417,4157
2018.08.23 14:18,4174.849,4175.357,4172.309,4174.340999999999,1068,3652
2018.08.23 14:19,4174.340999999999,4174.340999999999,4171.8009999999995,4172.309,574,2067
2018.08.23 14:20,4172.817,4174.340999999999,4171.8009999999995,4174.340999999999,620,2327
2018.08.23 14:21,4173.833,4174.340999999999,4172.309,4173.325,272,706
2018.08.23 14:22,4173.325,4174.340999999999,4172.817,4173.833,190,492
2018.08.23 14:23,4174.340999999999,4176.373,4173.833,4174.340999999999,601,1843
2018.08.23 14:24,4174.849,4174.849,4172.309,4172.817,588,1763
2018.08.23 14:25,4172.817,4173.325,4171.8009999999995,4172.817,379,1256
2018.08.23 14:26,4172.817,4178.913,4172.817,4176.373,1375,5107
2018.08.23 14:27,4176.880999999999,4176.880999999999,4173.325,4173.325,733,2314
2018.08.23 14:28,4173.833,4174.340999999999,4172.309,4174.340999999999,580,2052
2018.08.23 14:29,4174.340999999999,4175.357,4171.293,4172.309,856,2809
2018.08.23 14:30,4171.8009999999995,4174.340999999999,4170.276,4171.293,1181,3664
2018.08.23 14:31,4171.293,4176.373,4170.785,4175.357,1414,5374
2018.08.23 14:32,4175.357,4178.913,4175.357,4178.913,904,2857
2018.08.23 14:33,4178.913,4180.437,4178.405,4178.913,909,3270
2018.08.23 14:34,4179.420999999999,4181.4529999999995,4177.897,4178.405,891,2819
2018.08.23 14:35,4178.405,4181.4529999999995,4177.897,4178.913,647,1914
2018.08.23 14:36,4178.913,4179.420999999999,4175.357,4175.865,983,3245
2018.08.23 14:37,4175.865,4176.373,4173.833,4175.357,1006,3358
2018.08.23 14:38,4175.865,4176.880999999999,4173.833,4174.849,515,2190
2018.08.23 14:39,4175.357,4175.357,4173.325,4173.833,496,1602
2018.08.23 14:40,4174.340999999999,4177.389,4173.833,4176.373,504,1660
2018.08.23 14:41,4176.373,4178.405,4174.849,4175.357,458,1828
2018.08.23 14:42,4175.357,4177.897,4174.849,4177.897,309,1152
2018.08.23 14:43,4177.897,4177.897,4174.340999999999,4174.849,374,1496
2018.08.23 14:44,4174.849,4176.880999999999,4174.340999999999,4176.373,364,1542
2018.08.23 14:45,4175.865,4179.420999999999,4175.357,4178.405,739,3482
